agency_cd	site_no	station_nm
USGS	02289096	N.W. WELLFIELD CANAL AT CONS AREA NO.3 NR PENNSUCO
USGS	02289500	TAMIAMI CANAL NEAR CORAL GABLES, FL
USGS	02290700	SNAPPER CREEK CANAL AT S-22 NEAR SOUTH MIAMI, FL
USGS	0229070838	C-1 CANAL 900 FT ABOVE S-148 NEAR GOULDS, FL
USGS	022907085	BLACK CREEK CANAL WEST OF U.S. 1 NR  GOULDS, FL
USGS	02290709	10B BLACK CR CANAL AT OLD CUTLER RD NR GOU
USGS	02290710	BLACK CREEK CANAL AT S-21 NEAR GOULDS, FL
USGS	02290725	MOWRY CANAL NEAR HOMESTEAD
USGS	022907647	LEVEE 31 NORTH EXTENSION 1 MILE NR WEST MIAMI FL
USGS	02290765	LEVEE 31 NORTH EXTENSION AT 3 MILE NR WEST MIAMI F
USGS	02290766	LEVEE 31 NORTH EXTENSION AT 4 MILE NR WEST MIAMI F
USGS	02290767	LEVEE 31 NORTH EXTENSION AT 5 MILE NR WEST MIAMI F
USGS	02290768	LEVEE 31 NORTH EXTENSION AT 7 MILE NR WEST MIAMI F
USGS	02290769	CANAL 111 AT S-18-C NEAR FLORIDA CITY, FL
USGS	022908205	NORTH RIVER UPSTREAM OF CUTOFF NEAR FLAMINGO, FL
USGS	022908295	BOTTLE CREEK AT ROOKERY BRANCH NEAR HOMESTEAD, FL
USGS	02290829501	MO  -198
USGS	02290829502	MO  -199
USGS	02290878	BROAD RIVER NEAR THE CUTOFF, FL
USGS	02290888	CHATHAM RIVER NEAR THE WATSON PLACE, FL
USGS	02290918	LOSTMANS RIVER BELOW SECOND BAY, FL
USGS	02290928	BARRON RIVER AT EVERGLADES CITY, FL
USGS	02290930	TURNER RIVER NR CHOKOLOSKEE ISLAND, FL
USGS	02290940	NEW RIVER AT SUNDAY BAY, FL
USGS	02290942	LOPEZ RIVER NEAR LOPEZ CAMPSITE, FL
USGS	02290947	SWEETWATER STRAND AT LOOP RD. NR MONROE STATION FL
USGS	022909471	LOOP RD CULVERTS MONROE STATION TO FLA TRL FL
USGS	02291000	BARRON RIVER NR EVERGLADES, FLA.
USGS	02291001	BARRON RIVER BELOW SR29-3 AT COPELAND, FL
USGS	02291310	GORDON RIVER AT ROWING CLUB POINT NEAR NAPLES, FL
USGS	02291315	NAPLES BAY AT CITY DOCK NEAR NAPLES, FL
USGS	02291325	NAPLES BAY MID-ESTUARY NEAR NAPLES, FL
USGS	02291330	NAPLES BAY AT GORDON PASS NEAR NAPLES, FL
USGS	02291500	IMPERIAL RIVER NEAR BONITA SPRINGS, FL
USGS	02291524	SPRING CREEK HEADWATER NEAR BONITA SPRINGS, FL
USGS	02291580	NORTH BRANCH ESTERO RIVER AT ESTERO, FL
USGS	02291597	SOUTH BRANCH ESTERO RIVER AT ESTERO, FL
USGS	02291669	SIXMILE CYPRESS CREEK NEAR FORT MYERS,  FL
USGS	02291670	SIXMILE CYPRESS CREEK SOUTH NEAR FORT MYERS, FL
USGS	02291673	TENMILE CANAL AT CONTROL NEAR ESTERO, FL
USGS	02291710	BRIARCLIFF DITCH AT MOUTH NEAR ESTERO,FL
USGS	02291715	LAKE OUTFALL, HENDRY CREEK AT GLADIOLUS DR FT MYER
USGS	02291717	LAKE OUTFALL TO HENDRY CREEK SUMMERLIN RD FT MYERS
USGS	02292000	CALOOSAHATCHEE CA AT MOORE HAVEN FLA
USGS	02292010	CALOOSAHATCHEE CANAL DWS OF S-77 AT MOORE HAVEN FL
USGS	02292480	CALOOSAHATCHEE CANAL AT ORTONA LOCK NR LA BELLE
USGS	02292780	TOWNSEND CANAL NEAR ALVA,FL
USGS	02292900	CALOOSAHATCHEE RIVER AT S-79, NR.OLGA, FLA
USGS	022929176	TELEGRAPH CREEK AT STATE HIGHWAY AT OLGA, FL
USGS	02293055	ORANGE RIVER NEAR BUCKINGHAM, FL
USGS	02293190	BILLYS CR AT FT MYERS FL
USGS	02293205	CALOOSAHATCHEE RIVER AT CHANNEL MARKER 52 NR. FT.
USGS	02293210	CALOOSAHATCHEE RIVER AT SHELL POINT NEAR IONA, FL
USGS	02293214	MEADE CANAL AT CAPE CORAL, FL
USGS	02293216	MACKINAC CANAL AT CAPE CORAL, FL
USGS	02293230	WHISKEY CREEK AT FT. MYERS, FL
USGS	02293240	ARIES CANAL AT CAPE CORAL, FL
USGS	02293241	SAN CARLOS CANAL AT CAPE CORAL, FL
USGS	02293243	COURTNEY CANAL AT CAPE CORAL, FL
USGS	02293249	McIntyre Creek at Sanibel Island
USGS	02293252	DURDEN CREEK NR CAPE CORAL, FL
USGS	02293254	YUCCA PENS CREEK NR CAPE CORAL, FL
USGS	02293261	GATOR SLOUGH AT US41 NEAR FT MYERS FL
USGS	02293262	GATOR SLOUGH WEST OF US-41 NEAR FT. MYERS FL
USGS	02293263	GATOR SLOUGH ABOVE WEIR 19 AT CAPE CORAL, FL
USGS	02293264	GATOR SLOUGH AT SR 765 AT CAPE CORAL, FL
USGS	02293344	NORTH SPREADER CANAL AT CIETUS BOAT L. CAPE CORAL
USGS	022933442	BREACH 1 IN NORTH SPREADER CANAL AT CAPE CORAL, FL
USGS	02293345	SHADROE CANAL AT CAPE CORAL, FL
USGS	022933452	BREACH 2 IN NORTH SPREADER CANAL AT CAPE CORAL, FL
USGS	02293346	HORSESHOE CANAL AT CAPE CORAL, FL
USGS	022933462	BREACH 3 IN NORTH SPREADER CANAL AT CAPE CORAL, FL
USGS	02293347	HERMOSA CANAL AT CAPE CORAL, FL
USGS	02293348	BREACH 4 IN NORTH SPREADER CANAL AT CAPE CORAL, FL
USGS	02293349	BREACH 6 IN NORTH SPREADER CANAL AT CAPE CORAL, FL
USGS	02293350	BREACH 7 IN NORTH SPREADER CANAL AT CAPE CORAL, FL
USGS	02293390	NORTH PRONG ALLIGATOR CREEK NEAR PUNTA GORDA FL
USGS	02293694	PEACE CREEK DRAINAGE CANAL NEAR DUNDEE FL
USGS	02293763	LAKE STARR AT WAVERLY FL
USGS	02293986	PEACE CREEK DRAINAGE CANAL NEAR ALTURAS FL
USGS	02293987	PEACE CREEK DRAINAGE CANAL NEAR WAHNETA FL
USGS	02294068	LULU LAKE OUTLET AT ELOISE FL
USGS	02294161	PEACE CREEK NEAR BARTOW FL
USGS	02294217	SADDLE CREEK AT ST.HWY 542 NEAR LAKELAND FL
USGS	02294260	LAKE PARKER OUTLET AT LAKELAND FL
USGS	02294290	SADDLE CREEK AT STATE HWY 570 NEAR EATON PARK FL
USGS	02294330	LAKE LENA RUN NEAR AUBURNDALE FL
USGS	02294405	BANANA-HANCOCK CANAL NR HIGHLAND CITY, FL
USGS	02294491	SADDLE CREEK AT STRUCTURE P-11 NEAR BARTOW FL
USGS	02294650	PEACE RIVER AT BARTOW FL
USGS	02294655	PEACE RIVER NEAR BARTOW FL
USGS	02294747	SIXMILE CREEK AT BARTOW FL
USGS	02294759	PHOSPHATE MINE OUTFALL CS-8 NEAR BARTOW FL
USGS	02294760	BARBER BRANCH NEAR HOMELAND FL
USGS	02294775	PEACE RIVER AT CLEAR SPRINGS NEAR BARTOW FL
USGS	02294781	PEACE RIVER NEAR HOMELAND FL
USGS	02294898	PEACE RIVER AT FORT MEADE FL
USGS	02295013	BOWLEGS CREEK NEAR FORT MEADE FL
USGS	02295163	WHIDDEN CREEK NEAR FORT MEADE FL
USGS	02295194	PEACE RIVER AT BOWLING GREEN FL
USGS	02295420	PAYNE CREEK NEAR BOWLING GREEN FL
USGS	02295435	HOG BRANCH NEAR WACHULA FL
USGS	02295520	LITTLE CHARLIE CREEK NEAR BOWLING GREEN FL
USGS	02295580	LITTLE CHARLIE CREEK NEAR MOUTH NEAR WAUCHULA FL
USGS	02295637	PEACE RIVER AT ZOLFO SPRINGS FL
USGS	02295755	HICKORY CREEK NEAR ONA FL
USGS	02295850	OAK CREEK NEAR ONA FL
USGS	02296057	BUCKHORN CREEK NEAR GRIFFINS CORNER FL
USGS	02296222	LITTLE CHARLEY BOWLEGS C AB CT NEAR SEBRING FL
USGS	02296223	LITTLE CHARLEY BOWLEGS CREEK NEAR SEBRING FL
USGS	02296260	CHARLIE CREEK NEAR CREWSVILLE FL
USGS	02296389	OAK CREEK NEAR GARDNER FL
USGS	02296500	CHARLIE CREEK NEAR GARDNER FL
USGS	02296750	PEACE RIVER AT ARCADIA FL
USGS	02297000	10D JOSHUA CREEK NEAR ARCADIA FL
USGS	02297100	JOSHUA CREEK AT NOCATEE FL
USGS	02297105	PEACE RIVER AT NOCATEE FL
USGS	02297153	WEST FORK HORSE CREEK NEAR MYAKKA HEAD FL
USGS	02297155	HORSE CREEK NEAR MYAKKA HEAD FL
USGS	02297220	BRUSHY CREEK NEAR LILLY FL
USGS	02297272	BRANDY BRANCH AT PINE LEVEL FL
USGS	02297290	BUZZARD ROOST BRANCH NEAR PINE LEVEL FL
USGS	02297310	HORSE CREEK NEAR ARCADIA FL
USGS	02297345	PEACE RIVER AT PLATT FL
USGS	02297350	PEACE RIVER NR PEACE RIVER HEIGHTS NR FT. OGDEN FL
USGS	02297460	PEACE RIVER AT HARBOUR HEIGHTS FL
USGS	02297600	SHELL CREEK AT CIRCLE K GROVES NEAR FT OGDEN FL
USGS	02297635	SHELL CREEK ON CR 764 NEAR PUNTA GORDA FL
USGS	02298110	PRAIRIE CREEK UPSTREAM OF SR 31 NEAR FT OGDEN FL
USGS	02298123	PRAIRIE CREEK NEAR FORT OGDEN FL
USGS	02298124	PRAIRIE CREEK DOWNSTREAM NEAR FT OGDEN FL
USGS	02298170	PRAIRIE CREEK ON CR 764 NEAR PUNTA GORDA FL
USGS	02298202	SHELL CREEK NEAR PUNTA GORDA FL
USGS	02298208	SHELL CREEK TIDAL (2.8 RM) NEAR PUNTA GORDA FL
USGS	02298300	PEACE RIVER AT PUNTA GORDA FL
USGS	02298488	MYAKKA RIVER UPST FROM YOUNGS CK NR MYAKKA CITY FL
USGS	02298492	LONG CREEK NEAR MYAKKA CITY FL
USGS	02298494	FLATFORD SWAMP NR MYAKKA RIVER NR MYAKKA CITY FL
USGS	02298495	MAPLE CREEK NEAR MYAKKA CITY FL
USGS	02298527	OGLEBY CK DNSTR FROM BOGGY CK NEAR MYAKKA CITY FL
USGS	02298530	COKER CREEK NEAR MYAKKA CITY FL
USGS	02298554	MYAKKA RIVER NEAR MYAKKA CITY FL
USGS	02298556	MYAKKA RIVER ABOVE MYAKKA CITY FL
USGS	02298608	MYAKKA RIVER AT MYAKKA CITY FL
USGS	02298700	MYAKKA RIVER AT STATE ROAD 780 NEAR VERNA FL
USGS	02298760	HOWARD CREEK NEAR SARASOTA FL
USGS	02298805	MYAKKA RIVER BL UPPER MYAKKA LK NEAR SARASOTA FL
USGS	02298830	MYAKKA RIVER NEAR SARASOTA FL
USGS	02298850	MYAKKA R BL LOWER MYAKKA LK NEAR SARASOTA FL
USGS	02298880	MYAKKA RIVER AT CONTROL NEAR LAUREL FL
USGS	02298928	TRIBUTARY TO MYAKKA RIVER NEAR VENICE FL
USGS	02298955	MYAKKA R AT SNOOK HAVEN CAMP NEAR VENICE FL
USGS	02299060	DEER PRAIRIE SLOUGH NEAR MYAKKA CITY FL
USGS	02299120	DEER PRAIRIE SLOUGH AT POWER LINE NR NORTH PORT FL
USGS	02299160	DEER PRAIRIE SLOUGH NEAR NORTH PORT CHARLOTTE  FL
USGS	02299230	MYAKKA RIVER AT NORTH PORT CHARLOTTE FL
USGS	02299260	WARM MINERAL SPRINGS NEAR WOODMERE FL
USGS	02299410	BIG SLOUGH CANAL NEAR MYAKKA CITY FL
USGS	02299450	BIG SLOUGH AT TROPICAIRE BLVD NEAR NORTH PORT FL
USGS	02299455	BIG SLOUGH CANAL AT N. PORT CHARLOTTE FL
USGS	02299470	BIG SLOUGH NEAR MURDOCK FL
USGS	02299472	BIG SLOUGH AT WEST PRICE BLVD NEAR NORTH PORT FL
USGS	02299482	COCOPLUM WATERWAY AT NORTH PORT FL
USGS	02299484	BIG SLOUGH AT WCS-101 AT NORTH PORT FL
USGS	02299496	MYAKKA R AT EL JOBEAN FL
USGS	02299680	TRIBUTARY TO ROCK CREEK NEAR ENGLEWOOD FL
USGS	02299681	TRIBUTARY TO GOTTFRIED CK NEAR ENGLEWOOD FL
USGS	02299684	FORKED CREEK NEAR ENGLEWOOD FL
USGS	02299692	BLACKBURN CANAL NEAR VENICE FL
USGS	02299700	COW PEN SLOUGH NEAR BEE RIDGE FL
USGS	02299710	COW PEN SLOUGH AT CONTROL NEAR BEE RIDGE FL
USGS	02299727	SHAKETT CREEK NEAR NOKOMIS FL
USGS	02299730	DONNA BAY AT HIGHWAY 41 AT NOKOMIS FL
USGS	02299732	VENICE HARBOR AT VENICE YACHT CLUB AT VENICE FL
USGS	02299733	DONNA BAY AT NOKOMIS FL
USGS	02299734	CURRY CREEK AT HIGHWAY 41 AT NOKOMIS FL
USGS	02299735	VENICE INLET AT CROW'S NEST MARINA AT VENICE FL
USGS	02299737	SOUTH CREEK NEAR VAMO FL
USGS	02299741	CATFISH CREEK NEAR OSPREY FL
USGS	02299742	CLOWER CREEK AT VAMO FL
USGS	02299750	PHILLIPPEE CREEK NEAR SARASOTA FL
USGS	02299780	PHILLIPPI CREEK NEAR BEE RIDGE FL
USGS	02299861	WALKER CREEK NEAR SARASOTA FL
USGS	02299950	MANATEE RIVER NEAR MYAKKA HEAD FL
USGS	02300000	MANATEE RIVER NEAR BRADENTON FL
USGS	02300009	MANATEE RIVER AT DEVILS ELBOW NEAR FT HAMER FL
USGS	023000095	MANATEE RIVER AT RYE FL
USGS	02300017	GAMBLE CREEK AT COUNTY ROAD 675 NEAR PARRISH FL
USGS	02300018	GAMBLE CREEK NEAR PARRISH FL
USGS	02300021	MANATEE RIVER AT FORT HAMER FL
USGS	02300032	BRADEN RIVER NEAR LORRAINE FL
USGS	02300033	BRADEN RIV AT LAKEWOOD RANCH NR LORRAINE FL
USGS	02300034	HICKORY HAMMOCK CREEK NEAR LORRAINE FL
USGS	023000355	COOPER CREEK AT UNIVERSITY PARKWAY NR SARASOTA FL
USGS	02300036	TRIBUTARY NO. 1 TO COOPER CREEK NEAR LORRAINE FL
USGS	02300037	CEDAR CREEK NEAR SARASOTA FL
USGS	02300038	RATTLESNAKE SLOUGH NEAR SARASOTA FL
USGS	02300039	NONSENSE CREEK NEAR BRADENTON FL
USGS	02300042	WARD LAKE NEAR BRADENTON FL
USGS	02300044	BRADEN RIVER NEAR ELWOOD PARK FL
USGS	02300050	WILLIAMS CREEK NEAR BRADENTON FL
USGS	02300056	GAP CREEK NEAR BRADENTON FL
USGS	02300062	GLEN CREEK NEAR BRADENTON FL
USGS	02300064	BRADEN RIVER AT BRADENTON FL
USGS	02300075	FROG CREEK AT BUFFALO ROAD NEAR RUBONIA FL
USGS	02300082	FROG CREEK NEAR RUBONIA FL
USGS	023000825	FROG CREEK AT BISHOP HARBOR ROAD NEAR RUBONIA FL
USGS	02300084	FROG CREEK BELOW BISHOP HARBOR ROAD NR RUBONIA FL
USGS	023000842	TIDAL CREEK TRIBUTARY TO FROG CREEK NR RUBONIA FL
USGS	023000843	FROG CREEK ABOVE TERA CEIA BAY NEAR RUBONIA FL
USGS	02300092	LT MANATEE R AT TAYLOR-GILL RD NEAR FT LONESOME FL
USGS	02300096	ALDERMAN CREEK NEAR FT. LONESOME FL
USGS	02300100	LITTLE MANATEE RIVER NEAR FT. LONESOME FL
USGS	02300130	CARLTON BRANCH NEAR WIMAUMA FL
USGS	02300210	SOUTH FORK LITTLE MANATEE RIVER NEAR PARRISH FL
USGS	02300300	SOUTH FORK LITTLE MANATEE RIVER NEAR WIMAUMA FL
USGS	02300430	DUG CREEK NEAR WIMAUMA FL
USGS	02300500	LITTLE MANATEE RIVER NEAR WIMAUMA FL
USGS	02300530	CYPRESS CREEK NEAR WIMAUMA FL
USGS	02300542	LITTLE MANATEE RIVER AT I-75 NEAR RUSKIN FL
USGS	02300546	LITTLE MANATEE R AT RUSKIN FL
USGS	02300554	LITTLE MANATEE RIVER AT SHELL POINT NEAR RUSKIN FL
USGS	02300700	BULLFROG CREEK NEAR WIMAUMA FL
USGS	02300705	BULLFROG CREEK AT GIBSONTON FL
USGS	02300882	NORTH PRONG ALAFIA RIVER NEAR NICHOLS FL
USGS	02301000	NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL
USGS	02301150	SOUTH PRONG ALAFIA RIVER NEAR FT LONESOME FL
USGS	02301300	SOUTH PRONG ALAFIA RIVER NEAR LITHIA FL
USGS	02301314	MIZELL CREEK NEAR KEYSVILLE FL
USGS	02301350	LITTLE ALAFIA RIVER NEAR HOPEWELL FL
USGS	02301500	ALAFIA RIVER AT LITHIA FL
USGS	02301600	LITHIA SPRINGS NEAR LITHIA FL
USGS	02301638	ALAFIA RIVER AT BELL SHOALS NEAR RIVERVIEW FL
USGS	02301695	BUCKHORN CREEK NEAR BRANDON FL
USGS	02301706	ALAFIA RIVER NEAR RIVERVIEW FL
USGS	02301718	ALAFIA RIVER AT RIVERVIEW FL
USGS	02301719	ALAFIA RIVER NEAR GIBSONTON FL
USGS	02301721	ALAFIA RIVER AT GIBSONTON FL
USGS	02301738	ARCHIE CREEK AT 78TH STREET NEAR TAMPA FL
USGS	02301740	NORTH ARCHIE CREEK AT PROGRESS BLVD. NEAR TAMPA FL
USGS	02301745	DELANEY CREEK POPOFF CANAL NEAR TAMPA FL
USGS	02301750	DELANEY CREEK NEAR TAMPA FL
USGS	02301793	EAST LAKE OUTFALL AT E. CHELSEA ST. NEAR TAMPA FL
USGS	02301800	SIXMILE CREEK AT TAMPA FL
USGS	02301802	TAMPA BYPASS CANAL AT S-160,AT TAMPA FL
USGS	02301805	PALM RIVER AT MOUTH AT TAMPA FL
USGS	02301900	FOX BRANCH NEAR SOCRUM, FL
USGS	02301988	HILLSBOROUGH RIVER AT HWY 39 NR CRYSTAL SPRINGS FL
USGS	02301990	HILLSBOROUGH R AB CRYSTAL SPR NEAR ZEPHYRHILLS FL
USGS	02302010	HILLSBOROUGH R BL CRYSTAL SPR NEAR ZEPHYRHILLS FL
USGS	02302280	ITCHEPACKESASSA CREEK NEAR MORICZVILLE FL
USGS	02302500	BLACKWATER CREEK NEAR KNIGHTS FL
USGS	02303000	HILLSBOROUGH RIVER NEAR ZEPHYRHILLS FL
USGS	02303090	NEW RIVER NEAR WESLEY CHAPEL Fl
USGS	02303100	NEW RIVER NEAR ZEPHYRHILLS FL
USGS	02303174	WESTSIDE CANAL AT PLANT CITY FL
USGS	02303180	PEMBERTON CK AT WALLACE BRANCH RD NR PLANT CITY FL
USGS	02303200	PEMBERTON CREEK NEAR DOVER FL
USGS	02303205	BAKER CREEK AT MCINTOSH ROAD NEAR ANTIOCH FL
USGS	02303250	T. GALLAGHER DITCH NEAR DOVER  FL
USGS	02303300	FLINT CREEK NEAR THONOTOSASSA FL
USGS	02303313	CAMPBELL BRANCH NEAR THONOTASSSSA FL
USGS	02303330	HILLSBOROUGH R AT MORRIS BR NEAR THONOTOSASSA FL
USGS	02303348	TROUT CREEK AT WESLEY CHAPEL FL
USGS	02303350	TROUT CREEK NEAR SULPHUR SPRINGS FL
USGS	02303351	MORRIS BRIDGE BACKWASH POND OUTFLOW NR THONOTOSASS
USGS	02303358	CYPRESS CREEK NEAR DARBY FL
USGS	02303400	CYPRESS CREEK NEAR SAN ANTONIO FL
USGS	02303408	CYPRESS CREEK NEAR DREXEL FL
USGS	02303410	CYPRESS CREEK TRIBUTARY NR WESLEY CHAPEL FL
USGS	02303420	CYPRESS CREEK AT WORTHINGTON GARDENS FL
USGS	02303500	HANNA LAKE OUTLET NR LUTZ
USGS	02303800	CYPRESS CREEK NEAR SULPHUR SPRINGS FL
USGS	02304000	HILLSBOROUGH R AT FOWLER AV NEAR TEMPLE TERRACE FL
USGS	02304500	HILLSBOROUGH RIVER NEAR TAMPA FL
USGS	02304510	HILLSBOROUGH RIVER AT ROWLETT PK DR NEAR TAMPA FL
USGS	02304515	HILLSBOROUGH RIVER AT HANNA'S WHIRL AT TAMPA FL
USGS	02304517	HILLSBOROUGH R BL HANNAHS WHIRL NR SULPHUR SPGS FL
USGS	02304520	HILLSBOROUGH RIVER AT SULPHUR SPRINGS FL
USGS	02305000	HUTCHINS LAKE OUTLET NEAR LUTZ FL
USGS	02305500	DR DITCH AT BEARS AVE NEAR SULPHUR SPRINGS FL
USGS	02305780	CURIOSITY CREEK NEAR SULPHUR SPRINGS FL
USGS	02305851	CURIOSITY CREEK AT 122ND AVE NEAR SULPHUR SPGS. FL
USGS	02306000	SULPHUR SPRINGS AT SULPHUR SPRINGS FL
USGS	023060003	SULPHUR SPRINGS RUN AT SULPHUR SPRINGS FL
USGS	023060005	SULPHUR SPRINGS MOUTH AT SULPHUR SPRINGS FL
USGS	023060013	HILLSBOROUGH R. AT I-275 BRIDGE AT SULPHUR SPGS FL
USGS	02306002	ARTIC STREET STORM DRAIN AT SULPHUR SPRINGS FL
USGS	02306006	KIRBY STREET DRAINAGE DITCH AT TAMPA FL
USGS	02306021	ST. LOUIS STREET DRAINAGE DITCH AT TAMPA FL
USGS	02306028	HILLSBOROUGH RIVER AT PLATT STREET AT TAMPA FL
USGS	02306032	HILLSBOROUGH BAY AT BALLAST POINT AT TAMPA FL
USGS	02306071	GANDY BOULEVARD DRAINAGE DITCH AT TAMPA FL
USGS	02306289	LAKE MAGDALENE OUTLET NEAR LUTZ FL
USGS	02306500	SWEETWATER CREEK NEAR SULPHUR SPRINGS FL
USGS	02306647	SWEETWATER CREEK NEAR TAMPA FL
USGS	023066535	HENRY STREET CANAL AT BENJAMIN ROAD NEAR TAMPA FL
USGS	02306654	HENRY STREET CANAL NEAR TAMPA FL
USGS	02306660	AL LOPEZ PARK OUTFLOW AT TAMPA FL
USGS	02306774	ROCKY CREEK AT ST HWY 587 AT CITRUS PARK FL
USGS	02306910	BRUSHY CREEK NEAR TAMPA FL
USGS	02306950	BRUSHY CREEK NEAR CITRUS PARK FL
USGS	02307000	ROCKY CREEK NEAR SULPHUR SPRINGS FL
USGS	02307032	DOUBLE BRANCH AT COUNTRY WAY BLVD NEAR OLDSMAR FL
USGS	02307200	BROOKER CREEK AT VAN DYKE RD NEAR CITRUS PARK FL
USGS	02307243	BROOKER CREEK NEAR ODESSA FL
USGS	02307323	BROOKER CREEK NEAR LAKE FERN FL
USGS	02307359	BROOKER CREEK NEAR TARPON SPRINGS FL
USGS	02307362	BROOKER CREEK AT TARPON WOODS BLVD NR OLDSMAR FL
USGS	02307445	SOUTH BRANCH BROOKER CREEK NEAR OLDSMAR FL
USGS	02307479	LAKE TARPON NEAR TARPON SPRINGS FL
USGS	02307498	LAKE TARPON CANAL AT S-551, NEAR OLDSMAR FL
USGS	02307668	ALLIGATOR CREEK BELOW BELCHER RD AT CLEARWATER FL
USGS	02307669	ALLIGATOR CREEK AT HIGHWAY 19 AT CLEARWATER FL
USGS	02307671	ALLIGATOR CR BELOW US HWY 19 AT CLEARWATER FL
USGS	02307672	ALLIGATOR CREEK TRIBUTARY AT CLEARWATER FL
USGS	02307673	ALLIGATOR CREEK AT CLEARWATER FL
USGS	02307674	ALLIGATOR CREEK AT KAPOK PARK AT CLEARWATER FL
USGS	02307697	ALLIGATOR CREEK AT SAFETY HARBOR FL
USGS	02307731	ALLEN CREEK NEAR LARGO FL
USGS	02307780	LONG BRANCH NEAR PINELLAS PARK FL
USGS	02307834	UPPER HIGHLANDS CANAL AT CONTROL NR PINELLAS PK FL
USGS	02308193	BOOKER CREEK AT ST. PETERSBURG FL
USGS	02308773	BEAR CREEK AT ST. PETERSBURG FL
USGS	02308776	BEAR CREEK AT MANGO AVENUE AT GULFPORT FL
USGS	02308865	ROOSEVELT CANAL AT STR 23-8 NR PINELLAS PARK FL
USGS	02308870	PINEBROOK CN AT BRYAN DAIRY RD AT PINELLAS PARK FL
USGS	02308889	SEMINOLE LAKE OUTLET NEAR LARGO FL
USGS	02308929	SAINT JOES CREEK AT ST.PETERSBURG FL
USGS	02308931	SAINT JOE CREEK AT LEALMAN FL
USGS	02308935	SAINT JOE CREEK AT PINELLAS PARK FL
USGS	02308950	ST JOE CREEK AT 62ND ST NR PINELLAS PARK FL
USGS	02309110	MCKAY CREEK NEAR LARGO FL
USGS	02309160	TURNER STREET STORM DRAIN AT CLEARWATER FL
USGS	02309415	CURLEW CREEK AT EVANS ROAD NEAR DUNEDIN FL
USGS	02309421	CURLEW CREEK AT BELCHER ROAD NEAR OZONA FL
USGS	02309425	CURLEW CREEK AT COUNTY ROAD 1 NEAR OZONA FL
USGS	02309445	BEE BRANCH AT 15TH STREET AT PALM HARBOR FL
USGS	02309447	BEE BRANCH NEAR PALM HARBOR FL
USGS	02309740	ANCLOTE RIVER NEAR ODESSA FL
USGS	02309848	SOUTH BRANCH ANCLOTE RIVER NEAR ODESSA FL
USGS	02309980	ANCLOTE RIVER NR ODESSA FL
USGS	02310000	ANCLOTE RIVER NEAR ELFERS FL
USGS	02310050	ANCLOTE RIVER AT PERRINE ROAD NEAR ELFERS FL
USGS	02310147	HOLLIN CREEK NEAR TARPON SPRINGS FL
USGS	02310175	ANCLOTE RIVER AT ALT US 19 AT TARPON SPRINGS FL
USGS	02310207	ANCLOTE RIVER AT HICKORY PT AT ANCLOTE FL
USGS	02310240	JUMPING GULLY AT LOYCE FL
USGS	02310280	PITHLACHASCOTEE RIVER NEAR FIVAY JUNCTION FL
USGS	02310286	FIVEMILE CR BL SUNCOAST PKWY NR FIVAY JUNCTION FL
USGS	02310288	PITHLACHASCOTEE R BL SUNCOAST PKWY NR FIVAY JCT FL
USGS	02310300	PITHLACHASCOTEE RIVER NEAR NEW PORT RICHEY FL
USGS	02310304	PITHLACHASCOTEE RAT ROWAN RD NR NEW PORT RICHEY FL
USGS	02310305	PITHLACHASCOTEE RIVER NEAR RICHEY LAKES FL
USGS	02310307	PITHLACHASCOTEE RIVER AT NEW PORT RICHEY FL
USGS	02310308	PITHLACHASCOTEE R AT MAIN ST AT NEW PORT RICHEY FL
USGS	02310310	PITHLACHASCOTEE RIVER AT PORT RICHEY FL
USGS	02310322	LAKE WORRELL OUTFALL NR NEW PORT RICHEY EAST FL
USGS	02310350	BEAR CREEK NEAR HUDSON FL
USGS	02310352	BEAR CREEK AT PLAZA DRIVE NEAR HUDSON FL
USGS	02310368	BEAR CREEK NEAR BAYONET POINT FL
USGS	02310525	WEEKI WACHEE RIVER NEAR BROOKSVILLE FL
USGS	02310545	WEEKI WACHEE RIVER NR WEEKI WACHEE SPRINGS FL
USGS	02310550	WEEKI WACHEE RIVER NEAR BAYPORT FL
USGS	02310551	WEEKI WACHEE RIVER ABOVE MUD R NEAR BAYPORT FL
USGS	02310600	GULF OF MEXICO NEAR BAYPORT FL
USGS	02310650	CHASSAHOWITZKA RIVER NEAR HOMOSASSA FL
USGS	02310660	RUTH SPRINGS RUN NEAR HOMOSASSA FL
USGS	02310663	CHASSAHOWITZKA RIVER NEAR CHASSAHOWITZKA FL
USGS	02310673	CHASSAHOWITZKA R AT DOG ISL NR CHASSAHOWITZKA FL
USGS	02310674	CHASSAHOWITZKA R AT MOUTH NR CHASSAHOWITZKA FL
USGS	02310675	HIDDEN RIVER NEAR HOMOSASSA FL
USGS	02310678	HOMOSASSA SPRINGS AT HOMOSASSA SPRINGS FL
USGS	02310688	SE FORK HOMOSASSA SPRING AT HOMOSASSA SPRINGS FL
USGS	02310689	HALLS RIVER AT HOMOSASSA SPRINGS FL
USGS	02310690	HALLS RIVER NEAR HOMOSASSA FL
USGS	02310700	HOMOSASSA R AT HOMOSASSA FL
USGS	02310708	HOMOSASSA R AT TIGER TRAIL BAY NEAR HOMOSASSA FL
